1;English01;100;486190;486191;486192
2;PE01;200;546841;0546842;0546843
3;Chemistry01;120;486178780;44512191;454592
4;Physical01;250;544512841;057878842;05445412843
5;Math01;789;45478;4545;45454152
6;English02;100;486190;486191;486192
7;PE02;200;546841;0546842;0546843
8;Chemistry02;120;486178780;44512191;454592
9;Physical02;250;544512841;057878842;05445412843
10;Math02;789;45478;4545;45454152
11;English03;100;486190;486191;486192
12;PE03;200;546841;0546842;0546843
13;Chemistry03;120;486178780;44512191;454592
14;Physical03;250;544512841;057878842;05445412843
15;Math03;789;45478;4545;45454152
16;English04;100;486190;486191;486192
17;PE04;200;546841;0546842;0546843
18;Chemistry05;120;486178780;44512191;454592
19;Physical06;250;544512841;057878842;05445412843
20;Math07;789;45478;4545;45454152
21;English08;100;486190;486191;486192
22;PE08;200;546841;0546842;0546843
23;Chemistry08;120;486178780;44512191;454592
24;Physical08;250;544512841;057878842;05445412843
25;Math08;789;45478;4545;45454152
26;English10;100;486190;486191;486192
27;PE10;200;546841;0546842;0546843
28;Chemistry10;120;486178780;44512191;454592
29;Physical10;250;544512841;057878842;05445412843
30;Math10;789;45478;4545;45454152



